text,intent,split
கணக்கு வரலாறு காட்டு,view_history,train
display transaction history,view_history,train
put money in my account,deposit,train
can i see my transactions,view_history,train
monthly summary,analytics,train
last 10 transactions,mini_statement,train
மாத செலவு சுருக்கம்,analytics,train
show recent activity,view_history,train
set up automatic transfer,schedule_transfer,train
last three transactions,mini_statement,train
என் பரிவர்த்தனைகள் காட்டு,view_history,train
பரிமாற்றம் செய்,transfer_money,train
வணக்கம்,greeting,train
online transfer,transfer_money,train
mini statement dikhao,mini_statement,train
alvida,goodbye,train
deposit cash,deposit,test
show analytics,analytics,train
move money to another account,transfer_money,train
ok thanks,goodbye,train
loan eligibility,faq_loan,train
add funds,deposit,train
बैंक का समय,faq_timing,train
suspicious transaction hai,fraud_alert,test
is bank open on sundays,faq_timing,train
what is my current balance,check_balance,train
mera balance kya hai,check_balance,train
bank timings,faq_timing,train
மோசடி பரிவர்த்தனை,fraud_alert,train
kya aaj bank khula hai,faq_timing,train
send payment,transfer_money,train
greetings,greeting,train
hi,greeting,train
கணக்கிற்கு பணம் அனுப்பு,transfer_money,test
do a bank transfer,transfer_money,train
view my past transactions,view_history,train
धन्यवाद,goodbye,train
i want to remit money,transfer_money,train
i would like to deposit,deposit,train
show me how i spend my money,analytics,train
kitna paisa hai,check_balance,train
i need to deposit some cash,deposit,train
what is the amount in my account,check_balance,train
how much is in my account,check_balance,train
please cancel my last transaction,cancel_transfer,train
i need a loan,faq_loan,test
future dated transfer,schedule_transfer,train
मेरा बैलेंस क्या है,check_balance,train
mujhe loan chahiye,faq_loan,train
live agent,connect_banker,test
send 1000 to account 10003,transfer_money,train
speak to representative,connect_banker,train
i want to pay,transfer_money,train
hello,greeting,train
check my account,check_balance,train
done for now,goodbye,train
reverse the last transfer,cancel_transfer,train
धोखाधड़ी,fraud_alert,train
expense analysis,analytics,train
stop the last transfer,cancel_transfer,test
balance kitna hai,check_balance,test
cancel that transfer,cancel_transfer,test
help,greeting,train
education loan,faq_loan,train
baad mein paise bhejna hai,schedule_transfer,train
expense report,analytics,train
bank representative se milao,connect_banker,train
is the bank open today,faq_timing,train
transfer money,transfer_money,test
i got an unknown debit,fraud_alert,train
பேலன்ஸ் எவ்வளவு,check_balance,train
apply for loan,faq_loan,train
payment history,view_history,train
automatic transfer set karo,schedule_transfer,train
என் கணக்கை ப்ளாக் செய்,fraud_alert,train
how are you,greeting,train
someone used my account without permission,fraud_alert,train
meri transactions dikhao,view_history,train
how much do i have in my bank,check_balance,train
personal loan apply karna hai,faq_loan,train
unauthorized transaction,fraud_alert,train
தானியங்கி பரிமாற்றம்,schedule_transfer,train
கடைசி 5 பரிவர்த்தனைகள்,mini_statement,test
पैसे ट्रांसफर करें,transfer_money,test
connect to agent,connect_banker,train
analyze my spending,analytics,train
set up a recurring transfer,schedule_transfer,test
please connect me to an agent,connect_banker,train
transfer cancel karo,cancel_transfer,train
view my account statement,view_history,train
logout,goodbye,train
fraud detected,fraud_alert,train
talk to banker,connect_banker,train
suspicious activity on my account,fraud_alert,train
இருப்பு காட்டு,check_balance,train
i want to schedule a payment,schedule_transfer,train
கடன் விண்ணப்பம்,faq_loan,train
chhota statement,mini_statement,train
what is my balance,check_balance,train
do a transfer later,schedule_transfer,test
என் கணக்கில் எவ்வளவு பணம் இருக்கிறது,check_balance,test
hello bank,greeting,train
மினி ஸ்டேட்மெண்ட்,mini_statement,train
கடைசி பரிமாற்றத்தை ரத்து செய்,cancel_transfer,train
reverse transaction,cancel_transfer,train
my balance,check_balance,train
பணம் போடு,deposit,train
balance dikhao,check_balance,train
show me my transaction history,view_history,test
connect to support,connect_banker,train
show mini statement,mini_statement,train
fund transfer karo,transfer_money,train
what is the balance in my account,check_balance,test
காலை வணக்கம்,greeting,train
fetch my balance,check_balance,train
human support,connect_banker,test
fund my account,deposit,train
all transactions,view_history,train
undo last transaction,cancel_transfer,test
send money,transfer_money,train
வங்கி கஸ்டமர் கேர் இணை,connect_banker,train
i want to see my transaction history,view_history,train
mujhe madad chahiye,greeting,test
नमस्ते,greeting,test
சேமிப்பு வட்டி,faq_interest,train
check balance,check_balance,train
past transactions,view_history,train
automate money transfer,schedule_transfer,train
i want to apply for a loan,faq_loan,train
connect me to customer care,connect_banker,test
bank opening time,faq_timing,train
send money at a later date,schedule_transfer,train
pichle transactions,view_history,test
schedule money transfer,schedule_transfer,train
plan a future transfer,schedule_transfer,train
agent please,connect_banker,train
when does branch open,faq_timing,train
loan chahiye,faq_loan,train
ok bye,goodbye,train
என் பணம் எவ்வளவு,check_balance,train
can i get a loan,faq_loan,train
how much money do i have,check_balance,train
unauthorized debit,fraud_alert,train
can you tell me my balance,check_balance,train
can i transfer money,transfer_money,train
நான் உதவி வேண்டும்,greeting,train
spending breakdown,analytics,train
how much rupees do i have,check_balance,train
theek hai bye,goodbye,train
wire transfer,transfer_money,train
when is the bank open,faq_timing,train
good morning,greeting,train
suspicious transaction,fraud_alert,train
what is the interest rate,faq_interest,train
cancel the transaction,cancel_transfer,train
top up my account,deposit,train
credit 5000 to my account,deposit,train
வட்டி விகிதம்,faq_interest,train
kitna kharch kiya,analytics,test
bank hours,faq_timing,train
personal loan,faq_loan,train
where did i spend my money,analytics,test
கணக்கில் பணம் சேர்,deposit,train
how to get a loan,faq_loan,train
சுருக்க அறிக்கை,mini_statement,train
balance inquiry,check_balance,test
view mini statement,mini_statement,train
spending insights,analytics,train
cancel last transfer,cancel_transfer,train
வீட்டு கடன்,faq_loan,train
balance status,check_balance,train
expense tracker,analytics,test
increase my balance,deposit,train
can you help me,greeting,train
neft transfer,transfer_money,train
transfer to another account,transfer_money,train
make a transfer,transfer_money,train
बैलेंस चेक करें,check_balance,train
account activity,view_history,train
please show my balance,check_balance,train
there is a fraud transaction,fraud_alert,train
hi bot,greeting,test
bye,goodbye,test
வங்கி நேரம் என்ன,faq_timing,train
hello there,greeting,train
what time does the bank open,faq_timing,train
balance add karo,deposit,train
customer care,connect_banker,train
पैसा भेजना है,transfer_money,train
recent transactions,view_history,train
transaction history dikhao,view_history,train
show me all my transactions,view_history,train
mujhe fraud report karna hai,fraud_alert,train
நன்றி,goodbye,train
transfer funds to my friend,transfer_money,train
speak with a banker,connect_banker,test
list all my transactions,view_history,train
thanks a lot,goodbye,train
cash deposit,deposit,train
see you,goodbye,train
revert transfer,cancel_transfer,train
financial summary,analytics,train
வரலாறு காட்டு,view_history,train
quick statement,mini_statement,train
schedule a transfer,schedule_transfer,train
schedule transfer karo,schedule_transfer,train
where did my money go,view_history,train
how much did i spend,analytics,train
home loan,faq_loan,train
report fraud,fraud_alert,train
remaining balance,check_balance,train
savings account interest rate,faq_interest,train
paisa jama karna hai,deposit,train
spending report,analytics,train
undo my last payment,cancel_transfer,train
add money,deposit,train
my money was stolen,fraud_alert,train
car loan,faq_loan,train
how much interest on savings,faq_interest,train
fd rate,faq_interest,train
someone stole money from my account,fraud_alert,train
home loan kaise milega,faq_loan,test
मिनी स्टेटमेंट,mini_statement,train
आखिरी 5 लेनदेन,mini_statement,test
thanks,goodbye,train
loan requirements,faq_loan,train
savings par kitna byaj milega,faq_interest,train
pichla payment wapis karo,cancel_transfer,train
balance check,check_balance,train
ब्याज दर,faq_interest,train
account balance batao,check_balance,train
escalate to human,connect_banker,train
namaste,greeting,train
loan application,faq_loan,train
show me my spending,analytics,train
i want to deposit money,deposit,test
add money to my account,deposit,train
freeze my account,fraud_alert,train
மனித உதவி வேண்டும்,connect_banker,train
show my account statement,view_history,test
show transaction history,view_history,train
account mein paise bhejo,transfer_money,train
unauthorized payment,fraud_alert,train
display my balance,check_balance,train
when does bank open,faq_timing,train
exit,goodbye,test
hi there,greeting,train
சந்தேகமான பரிவர்த்தனை,fraud_alert,train
scheduled payment,schedule_transfer,test
available balance,check_balance,test
okay bye,goodbye,train
hey,greeting,train
thank you,goodbye,train
account ki history batao,view_history,train
home loan interest rate,faq_interest,train
my spending patterns,analytics,train
illegal transaction,fraud_alert,train
i want to send money,transfer_money,train
talk to customer support,connect_banker,train
ஒரு பரிவர்த்தனை திட்டமிடு,schedule_transfer,train
show me my balance,check_balance,train
transfer schedule karna hai,schedule_transfer,train
credit my account,deposit,train
i want to see my balance,check_balance,train
வங்கி எப்போது திறக்கும்,faq_timing,test
bank holidays,faq_timing,train
bank transfer karna hai,transfer_money,train
டெபாசிட் செய்,deposit,test
help chahiye,greeting,train
पैसे जमा करने हैं,deposit,train
मेरे लेनदेन दिखाओ,view_history,test
என் கணக்கில் திருட்டு நடந்தது,fraud_alert,train
நிதி பகுப்பாய்வு,analytics,train
show me the last 5 payments,mini_statement,test
मेरे खाते में कितना पैसा है,check_balance,train
பணம் மாற்று,transfer_money,train
book a future payment,schedule_transfer,train
goodbye,goodbye,test
send funds,transfer_money,train
mera last transfer cancel karo,cancel_transfer,train
get me a human agent,connect_banker,train
schedule payment for tomorrow,schedule_transfer,train
mini statement,mini_statement,train
help me,greeting,train
bank kab khulta hai,faq_timing,test
what are my last transactions,mini_statement,train
brief transaction summary,mini_statement,train
hello ji,greeting,train
i want to reverse my payment,cancel_transfer,train
i need to speak with someone,connect_banker,train
last 5 transactions dikhao,mini_statement,train
pay to account,transfer_money,train
block my account,fraud_alert,train
real agent chahiye,connect_banker,train
current interest rates,faq_interest,train
bank timing kya hai,faq_timing,train
reverse last payment,cancel_transfer,train
can i see last 5 transactions,mini_statement,train
i need help from a person,connect_banker,train
mera account hack ho gaya,fraud_alert,test
customer care se connect karo,connect_banker,train
show me last few transactions,mini_statement,train
spending report chahiye,analytics,train
recent 5 transactions,mini_statement,train
my transactions,view_history,train
போகிறேன்,goodbye,train
சரி நன்றி,goodbye,train
personal loan interest,faq_interest,train
bank closing time,faq_timing,train
does the bank work on saturday,faq_timing,train
paisa bhejo,transfer_money,train
i made a mistake please cancel,cancel_transfer,train
खर्च विश्लेषण,analytics,train
show my account balance,check_balance,test
that's all,goodbye,train
can you check my account balance,check_balance,train
add balance,deposit,train
पैसे भेजें,transfer_money,train
start,greeting,test
block account now,fraud_alert,train
i am done,goodbye,train
செலவு பகுப்பாய்வு,analytics,train
ஹலோ,greeting,train
i want to talk to someone,connect_banker,train
short statement,mini_statement,train
my account is compromised,fraud_alert,train
agent se baat,connect_banker,train
hey there,greeting,train
கடன் வேண்டும்,faq_loan,test
கடன் வட்டி,faq_interest,train
